"edge.id","tail","head","onset","terminus"
"1","10","102","2014-07-01","2019-06-30"
"2","10","91","2014-07-01","2019-06-30"
"3","109","83","2014-07-01","2016-06-30"
"4","11","83","2014-07-01","2016-06-30"
"5","11","84","2016-07-01","2020-06-30"
"6","110","103","2014-07-01","2017-06-30"
"7","110","104","2017-07-01","2020-06-30"
"8","111","101","2018-07-01","2019-06-30"
"9","111","7","2019-07-01","2020-06-30"
"10","111","88","2014-07-01","2018-06-30"
"11","112","101","2018-07-01","2019-06-30"
"12","112","7","2019-07-01","2020-06-30"
"13","112","88","2014-07-01","2018-06-30"
"14","113","7","2014-07-01","2019-06-30"
"15","114","7","2014-07-01","2020-06-30"
"16","115","106","2014-07-01","2020-06-30"
"17","116","81","2014-07-01","2020-06-30"
"18","116","82","2016-07-01","2019-06-30"
"19","117","91","2014-07-01","2020-06-30"
"20","118","91","2014-07-01","2019-06-30"
"21","119","95","2014-07-01","2015-06-30"
"22","119","96","2015-07-01","2016-06-30"
"23","119","97","2016-07-01","2020-06-30"
"24","12","101","2018-07-01","2019-06-30"
"25","12","7","2019-07-01","2020-06-30"
"26","12","88","2014-07-01","2018-06-30"
"27","120","81","2014-07-01","2020-06-30"
"28","120","82","2016-07-01","2019-06-30"
"29","121","103","2014-07-01","2017-06-30"
"30","121","104","2017-07-01","2020-06-30"
"31","122","91","2014-07-01","2020-06-30"
"32","123","89","2014-07-01","2020-06-30"
"33","127","100","2019-07-01","2020-06-30"
"34","127","99","2018-07-01","2019-06-30"
"35","128","100","2019-07-01","2020-06-30"
"36","128","98","2014-07-01","2018-06-30"
"37","128","99","2018-07-01","2019-06-30"
"38","129","106","2014-07-01","2020-06-30"
"39","13","106","2014-07-01","2020-06-30"
"40","130","95","2014-07-01","2015-06-30"
"41","130","96","2015-07-01","2016-06-30"
"42","130","97","2016-07-01","2020-06-30"
"43","131","94","2014-07-01","2018-06-30"
"44","132","103","2014-07-01","2017-06-30"
"45","132","81","2019-07-01","2020-06-30"
"46","132","82","2016-07-01","2019-06-30"
"47","133","7","2014-07-01","2019-06-30"
"48","133","84","2016-07-01","2019-06-30"
"49","134","7","2014-07-01","2020-06-30"
"50","136","91","2014-07-01","2020-06-30"
"51","137","100","2019-07-01","2020-06-30"
"52","137","98","2014-07-01","2018-06-30"
"53","137","99","2018-07-01","2019-06-30"
"54","138","106","2014-07-01","2020-06-30"
"55","139","102","2014-07-01","2019-06-30"
"56","14","90","2014-07-01","2020-06-30"
"57","140","102","2014-07-01","2020-06-30"
"58","141","7","2014-07-01","2019-06-30"
"59","141","84","2016-07-01","2020-06-30"
"60","142","7","2014-07-01","2019-06-30"
"61","142","84","2016-07-01","2020-06-30"
"62","143","91","2014-07-01","2020-06-30"
"63","144","91","2014-07-01","2020-06-30"
"64","145","91","2014-07-01","2019-06-30"
"65","146","106","2014-07-01","2020-06-30"
"66","147","7","2014-07-01","2019-06-30"
"67","147","84","2016-07-01","2020-06-30"
"68","148","91","2014-07-01","2020-06-30"
"69","149","7","2014-07-01","2019-06-30"
"70","149","84","2016-07-01","2020-06-30"
"71","15","7","2014-07-01","2020-06-30"
"72","150","95","2014-07-01","2015-06-30"
"73","150","96","2015-07-01","2016-06-30"
"74","150","97","2016-07-01","2020-06-30"
"75","151","7","2014-07-01","2019-06-30"
"76","151","84","2016-07-01","2020-06-30"
"77","152","100","2019-07-01","2020-06-30"
"78","152","98","2014-07-01","2018-06-30"
"79","152","99","2018-07-01","2019-06-30"
"80","153","103","2014-07-01","2017-06-30"
"81","154","102","2014-07-01","2020-06-30"
"82","156","100","2019-07-01","2020-06-30"
"83","157","97","2016-07-01","2020-06-30"
"84","16","91","2014-07-01","2020-06-30"
"85","160","7","2014-07-01","2020-06-30"
"86","161","106","2014-07-01","2020-06-30"
"87","162","106","2014-07-01","2020-06-30"
"88","163","7","2014-07-01","2020-06-30"
"89","164","7","2014-07-01","2020-06-30"
"90","165","7","2014-07-01","2020-06-30"
"91","166","88","2014-07-01","2018-06-30"
"92","167","88","2014-07-01","2018-06-30"
"93","168","7","2014-07-01","2020-06-30"
"94","17","83","2014-07-01","2016-06-30"
"95","17","84","2016-07-01","2020-06-30"
"96","171","91","2014-07-01","2019-06-30"
"97","172","91","2014-07-01","2019-06-30"
"98","173","106","2014-07-01","2020-06-30"
"99","174","91","2014-07-01","2020-06-30"
"100","175","85","2014-07-01","2020-06-30"
"101","176","81","2019-07-01","2020-06-30"
"102","176","82","2016-07-01","2019-06-30"
"103","177","85","2014-07-01","2020-06-30"
"104","178","85","2014-07-01","2020-06-30"
"105","179","85","2014-07-01","2020-06-30"
"106","18","106","2014-07-01","2020-06-30"
"107","180","85","2014-07-01","2020-06-30"
"108","181","81","2014-07-01","2020-06-30"
"109","181","82","2016-07-01","2019-06-30"
"110","182","101","2018-07-01","2019-06-30"
"111","182","7","2019-07-01","2020-06-30"
"112","182","88","2014-07-01","2018-06-30"
"113","183","7","2014-07-01","2019-06-30"
"114","183","84","2016-07-01","2020-06-30"
"115","184","101","2018-07-01","2019-06-30"
"116","184","7","2019-07-01","2020-06-30"
"117","184","88","2014-07-01","2018-06-30"
"118","186","83","2014-07-01","2016-06-30"
"119","186","84","2016-07-01","2020-06-30"
"120","187","103","2014-07-01","2017-06-30"
"121","187","104","2017-07-01","2020-06-30"
"122","188","83","2014-07-01","2016-06-30"
"123","189","86","2014-07-01","2020-06-30"
"124","189","87","2015-07-01","2019-06-30"
"125","19","7","2014-07-01","2019-06-30"
"126","191","90","2014-07-01","2020-06-30"
"127","192","81","2019-07-01","2020-06-30"
"128","192","82","2016-07-01","2019-06-30"
"129","193","101","2018-07-01","2019-06-30"
"130","193","88","2014-07-01","2018-06-30"
"131","2","7","2014-07-01","2020-06-30"
"132","20","7","2014-07-01","2019-06-30"
"133","20","92","2018-07-01","2020-06-30"
"134","21","86","2014-07-01","2020-06-30"
"135","21","87","2015-07-01","2019-06-30"
"136","22","94","2014-07-01","2018-06-30"
"137","23","91","2014-07-01","2020-06-30"
"138","24","89","2014-07-01","2020-06-30"
"139","25","7","2014-07-01","2019-06-30"
"140","25","92","2018-07-01","2020-06-30"
"141","26","7","2014-07-01","2019-06-30"
"142","26","84","2016-07-01","2020-06-30"
"143","27","7","2014-07-01","2020-06-30"
"144","28","81","2014-07-01","2020-06-30"
"145","28","82","2016-07-01","2019-06-30"
"146","29","81","2014-07-01","2016-06-30"
"147","29","82","2016-07-01","2019-06-30"
"148","3","91","2014-07-01","2020-06-30"
"149","30","7","2014-07-01","2020-06-30"
"150","31","86","2014-07-01","2020-06-30"
"151","31","87","2015-07-01","2019-06-30"
"152","32","86","2014-07-01","2015-06-30"
"153","32","87","2015-07-01","2019-06-30"
"154","33","7","2014-07-01","2019-06-30"
"155","33","92","2018-07-01","2020-06-30"
"156","34","102","2014-07-01","2020-06-30"
"157","35","91","2014-07-01","2020-06-30"
"158","36","95","2014-07-01","2015-06-30"
"159","36","96","2015-07-01","2016-06-30"
"160","36","97","2016-07-01","2020-06-30"
"161","37","7","2014-07-01","2020-06-30"
"162","38","100","2019-07-01","2020-06-30"
"163","38","98","2014-07-01","2018-06-30"
"164","38","99","2018-07-01","2019-06-30"
"165","39","85","2014-07-01","2020-06-30"
"166","4","85","2014-07-01","2020-06-30"
"167","41","7","2014-07-01","2019-06-30"
"168","41","84","2016-07-01","2020-06-30"
"169","42","95","2014-07-01","2015-06-30"
"170","42","96","2015-07-01","2016-06-30"
"171","42","97","2016-07-01","2020-06-30"
"172","43","106","2014-07-01","2020-06-30"
"173","44","91","2014-07-01","2019-06-30"
"174","45","81","2014-07-01","2020-06-30"
"175","45","82","2016-07-01","2019-06-30"
"176","46","106","2014-07-01","2020-06-30"
"177","48","91","2014-07-01","2020-06-30"
"178","49","103","2014-07-01","2017-06-30"
"179","49","104","2017-07-01","2020-06-30"
"180","49","95","2014-07-01","2015-06-30"
"181","49","96","2015-07-01","2016-06-30"
"182","5","85","2014-07-01","2020-06-30"
"183","50","86","2014-07-01","2020-06-30"
"184","50","87","2015-07-01","2019-06-30"
"185","51","90","2014-07-01","2020-06-30"
"186","52","106","2014-07-01","2020-06-30"
"187","53","7","2014-07-01","2019-06-30"
"188","53","92","2018-07-01","2020-06-30"
"189","54","85","2014-07-01","2020-06-30"
"190","55","91","2014-07-01","2020-06-30"
"191","56","91","2014-07-01","2020-06-30"
"192","57","91","2014-07-01","2020-06-30"
"193","58","85","2014-07-01","2020-06-30"
"194","59","106","2014-07-01","2020-06-30"
