"vertex.id","agency","appropriation","ext_revenue","onset","terminus"
"1","Aboriginal Hostels Limited",36426,20198,2019-07-01,2020-06-30
"1","Aboriginal Hostels Limited",36323,21087,2018-07-01,2019-06-30
"1","Aboriginal Hostels Limited",36563,22363,2017-07-01,2018-06-30
"1","Aboriginal Hostels Limited",37075,21177,2016-07-01,2017-06-30
"1","Aboriginal Hostels Limited",37582,18820,2015-07-01,2016-06-30
"1","Aboriginal Hostels Limited",39302,20192,2014-07-01,2015-06-30
"10","Australian Aged Care Quality Agency",31109,14286,2018-07-01,2019-06-30
"10","Australian Aged Care Quality Agency",29512,6580,2016-07-01,2017-06-30
"10","Australian Aged Care Quality Agency",28941,13641,2015-07-01,2016-06-30
"10","Australian Aged Care Quality Agency",21188,20718,2014-07-01,2015-06-30
"100","Department of Infrastructure, Transport, Cities and Regional Development",211553,4870,2019-07-01,2020-06-30
"101","Department of Jobs and Small Business",395611,53834,2019-07-01,2020-06-30
"101","Department of Jobs and Small Business",359055,53329,2018-07-01,2019-06-30
"102","Department of Social Services",462115,37569,2019-07-01,2020-06-30
"102","Department of Social Services",414607,40730,2018-07-01,2019-06-30
"102","Department of Social Services",1490773,6651424,2017-07-01,2018-06-30
"102","Department of Social Services",443385,37497,2016-07-01,2017-06-30
"102","Department of Social Services",718915,23902,2015-07-01,2016-06-30
"102","Department of Social Services",577640,23994,2014-07-01,2015-06-30
"103","Department of the Environment",545225,31204,2016-07-01,2017-06-30
"103","Department of the Environment",429115,57078,2015-07-01,2016-06-30
"103","Department of the Environment",449062,56670,2014-07-01,2015-06-30
"104","Department of the Environment and Energy",614653,38442,2019-07-01,2020-06-30
"104","Department of the Environment and Energy",499389,34566,2018-07-01,2019-06-30
"104","Department of the Environment and Energy",616798,293273,2017-07-01,2018-06-30
"105","Department of the Prime Minister and Cabinet",424894,14248,2019-07-01,2020-06-30
"105","Department of the Prime Minister and Cabinet",421227,16833,2018-07-01,2019-06-30
"105","Department of the Prime Minister and Cabinet",478086,9261,2017-07-01,2018-06-30
"105","Department of the Prime Minister and Cabinet",389639,10552,2016-07-01,2017-06-30
"105","Department of the Prime Minister and Cabinet",389302,5964,2015-07-01,2016-06-30
"105","Department of the Prime Minister and Cabinet",595993,8613,2014-07-01,2015-06-30
"106","Department of the Treasury",206309,12423,2019-07-01,2020-06-30
"106","Department of the Treasury",194255,12423,2018-07-01,2019-06-30
"106","Department of the Treasury",206776,12704,2017-07-01,2018-06-30
"106","Department of the Treasury",168243,8954,2016-07-01,2017-06-30
"106","Department of the Treasury",166353,8718,2015-07-01,2016-06-30
"106","Department of the Treasury",180393,8488,2014-07-01,2015-06-30
"107","Department of Veterans' Affairs",356624,11655,2019-07-01,2020-06-30
"107","Department of Veterans' Affairs",390081,7526,2018-07-01,2019-06-30
"107","Department of Veterans' Affairs",389319,6905,2017-07-01,2018-06-30
"107","Department of Veterans' Affairs",338918,6746,2016-07-01,2017-06-30
"107","Department of Veterans' Affairs",298531,9616,2015-07-01,2016-06-30
"107","Department of Veterans' Affairs",299392,10881,2014-07-01,2015-06-30
"108","Digital Transformation Agency",57345,2170,2019-07-01,2020-06-30
"108","Digital Transformation Agency",115356,2171,2018-07-01,2019-06-30
"109","Digital Transformation Office",38456,0,2016-07-01,2017-06-30
"109","Digital Transformation Office",30867,0,2015-07-01,2016-06-30
"11","Australian Broadcasting Corporation",1062265,68641,2019-07-01,2020-06-30
"11","Australian Broadcasting Corporation",1045911,71838,2018-07-01,2019-06-30
"11","Australian Broadcasting Corporation",1043680,88700,2017-07-01,2018-06-30
"11","Australian Broadcasting Corporation",1036090,78313,2016-07-01,2017-06-30
"11","Australian Broadcasting Corporation",1084413,142678,2015-07-01,2016-06-30
"11","Australian Broadcasting Corporation",1113624,164530,2014-07-01,2015-06-30
"110","Director of National Parks",46160,26353,2019-07-01,2020-06-30
"110","Director of National Parks",47615,23431,2018-07-01,2019-06-30
"110","Director of National Parks",376,68815,2017-07-01,2018-06-30
"110","Director of National Parks",619,62051,2016-07-01,2017-06-30
"110","Director of National Parks",0,58740,2015-07-01,2016-06-30
"110","Director of National Parks",0,60002,2014-07-01,2015-06-30
"111","Fair Work Commission",79675,2000,2019-07-01,2020-06-30
"111","Fair Work Commission",76419,2000,2018-07-01,2019-06-30
"111","Fair Work Commission",76515,2400,2017-07-01,2018-06-30
"111","Fair Work Commission",78629,2429,2016-07-01,2017-06-30
"111","Fair Work Commission",81968,2429,2015-07-01,2016-06-30
"111","Fair Work Commission",82348,1286,2014-07-01,2015-06-30
"112","Fair Work Ombudsman and Registered Organisations Commission Entity",134181,3366,2019-07-01,2020-06-30
"112","Fair Work Ombudsman and Registered Organisations Commission Entity",124976,1000,2018-07-01,2019-06-30
"112","Fair Work Ombudsman and Registered Organisations Commission Entity",120692,1190,2017-07-01,2018-06-30
"113","Family Court and Federal Circuit Court",158782,1475,2015-07-01,2016-06-30
"113","Family Court and Federal Circuit Court",156051,1440,2014-07-01,2015-06-30
"114","Federal Court of Australia",296971,3939,2019-07-01,2020-06-30
"114","Federal Court of Australia",269522,3894,2018-07-01,2019-06-30
"114","Federal Court of Australia",263052,3944,2017-07-01,2018-06-30
"114","Federal Court of Australia",255596,3318,2016-07-01,2017-06-30
"114","Federal Court of Australia",98998,2769,2015-07-01,2016-06-30
"114","Federal Court of Australia",96746,2733,2014-07-01,2015-06-30
"115","Financial Adviser Standards and Ethics Authority Ltd",0,3900,2019-07-01,2020-06-30
"115","Financial Adviser Standards and Ethics Authority Ltd",0,4163,2018-07-01,2019-06-30
"116","Fisheries Research and Development Corporation",0,34976,2019-07-01,2020-06-30
"116","Fisheries Research and Development Corporation",0,34697,2018-07-01,2019-06-30
"116","Fisheries Research and Development Corporation",0,37339,2017-07-01,2018-06-30
"116","Fisheries Research and Development Corporation",0,30569,2016-07-01,2017-06-30
"116","Fisheries Research and Development Corporation",0,27316,2015-07-01,2016-06-30
"116","Fisheries Research and Development Corporation",0,27001,2014-07-01,2015-06-30
"117","Food Standards Australia New Zealand",16890,2367,2019-07-01,2020-06-30
"117","Food Standards Australia New Zealand",16899,2350,2018-07-01,2019-06-30
"117","Food Standards Australia New Zealand",16961,2169,2017-07-01,2018-06-30
"117","Food Standards Australia New Zealand",17184,1993,2016-07-01,2017-06-30
"117","Food Standards Australia New Zealand",17257,1993,2015-07-01,2016-06-30
"117","Food Standards Australia New Zealand",17495,2169,2014-07-01,2015-06-30
"118","General Practice Education and Training Limited",0,118749,2014-07-01,2015-06-30
"119","Geoscience Australia",216296,40673,2019-07-01,2020-06-30
"119","Geoscience Australia",199461,40129,2018-07-01,2019-06-30
"119","Geoscience Australia",155770,43643,2017-07-01,2018-06-30
"119","Geoscience Australia",147907,41890,2016-07-01,2017-06-30
"119","Geoscience Australia",125824,39900,2015-07-01,2016-06-30
"119","Geoscience Australia",129588,0,2014-07-01,2015-06-30
"12","Australian Building and Construction Commission",33602,370,2019-07-01,2020-06-30
"12","Australian Building and Construction Commission",32721,370,2018-07-01,2019-06-30
"12","Australian Building and Construction Commission",32963,370,2017-07-01,2018-06-30
"120","Grains Research and Development Corporation",0,194082,2019-07-01,2020-06-30
"120","Grains Research and Development Corporation",0,215093,2018-07-01,2019-06-30
"120","Grains Research and Development Corporation",0,199605,2017-07-01,2018-06-30
"120","Grains Research and Development Corporation",0,199117,2016-07-01,2017-06-30
"120","Grains Research and Development Corporation",0,199818,2015-07-01,2016-06-30
"120","Grains Research and Development Corporation",0,188615,2014-07-01,2015-06-30
"121","Great Barrier Reef Marine Park Authority",47586,15673,2019-07-01,2020-06-30
"121","Great Barrier Reef Marine Park Authority",54853,11083,2018-07-01,2019-06-30
"121","Great Barrier Reef Marine Park Authority",37797,25865,2017-07-01,2018-06-30
"121","Great Barrier Reef Marine Park Authority",28012,21037,2016-07-01,2017-06-30
"121","Great Barrier Reef Marine Park Authority",26562,13120,2015-07-01,2016-06-30
"121","Great Barrier Reef Marine Park Authority",26847,13320,2014-07-01,2015-06-30
"122","Independent Hospital Pricing Authority",0,16144,2019-07-01,2020-06-30
"122","Independent Hospital Pricing Authority",0,16037,2018-07-01,2019-06-30
"122","Independent Hospital Pricing Authority",28458,38879,2017-07-01,2018-06-30
"122","Independent Hospital Pricing Authority",0,15856,2016-07-01,2017-06-30
"122","Independent Hospital Pricing Authority",25877,0,2015-07-01,2016-06-30
"122","Independent Hospital Pricing Authority",13449,0,2014-07-01,2015-06-30
"123","Independent Parliamentary Expenses Authority",10095,0,2019-07-01,2020-06-30
"123","Independent Parliamentary Expenses Authority",9981,0,2018-07-01,2019-06-30
"124","Indigenous Business Australia",32437,192431,2019-07-01,2020-06-30
"124","Indigenous Business Australia",32612,191422,2018-07-01,2019-06-30
"124","Indigenous Business Australia",32983,151065,2017-07-01,2018-06-30
"124","Indigenous Business Australia",47152,168807,2016-07-01,2017-06-30
"124","Indigenous Business Australia",70808,173640,2015-07-01,2016-06-30
"124","Indigenous Business Australia",71208,159044,2014-07-01,2015-06-30
"125","Indigenous Land and Sea Corporation",8617,77335,2019-07-01,2020-06-30
"126","Indigenous Land Corporation",8749,76490,2018-07-01,2019-06-30
"126","Indigenous Land Corporation",8928,56996,2017-07-01,2018-06-30
"126","Indigenous Land Corporation",9156,56274,2016-07-01,2017-06-30
"126","Indigenous Land Corporation",9389,55412,2015-07-01,2016-06-30
"126","Indigenous Land Corporation",9527,54565,2014-07-01,2015-06-30
"127","Infrastructure and Project Financing Agency",5725,0,2019-07-01,2020-06-30
"127","Infrastructure and Project Financing Agency",4198,0,2018-07-01,2019-06-30
"128","Infrastructure Australia",11560,74,2019-07-01,2020-06-30
"128","Infrastructure Australia",11514,80,2018-07-01,2019-06-30
"128","Infrastructure Australia",11592,75,2017-07-01,2018-06-30
"128","Infrastructure Australia",11581,14,2016-07-01,2017-06-30
"128","Infrastructure Australia",11768,0,2015-07-01,2016-06-30
"129","Inspector-General of Taxation",6480,0,2019-07-01,2020-06-30
"129","Inspector-General of Taxation",6481,0,2018-07-01,2019-06-30
"129","Inspector-General of Taxation",6525,0,2017-07-01,2018-06-30
"129","Inspector-General of Taxation",6594,0,2016-07-01,2017-06-30
"129","Inspector-General of Taxation",6730,0,2015-07-01,2016-06-30
"129","Inspector-General of Taxation",3359,0,2014-07-01,2015-06-30
"13","Australian Bureau of Statistics",401223,42608,2019-07-01,2020-06-30
"13","Australian Bureau of Statistics",368919,47674,2018-07-01,2019-06-30
"13","Australian Bureau of Statistics",372163,57904,2017-07-01,2018-06-30
"13","Australian Bureau of Statistics",582471,40753,2016-07-01,2017-06-30
"13","Australian Bureau of Statistics",461264,44153,2015-07-01,2016-06-30
"13","Australian Bureau of Statistics",348337,30000,2014-07-01,2015-06-30
"130","IP Australia",362,0,2019-07-01,2020-06-30
"130","IP Australia",368,0,2018-07-01,2019-06-30
"130","IP Australia",375,0,2017-07-01,2018-06-30
"130","IP Australia",2092,0,2016-07-01,2017-06-30
"130","IP Australia",2192,0,2015-07-01,2016-06-30
"130","IP Australia",2302,0,2014-07-01,2015-06-30
"131","Migration Review Tribunal and Refugee Review Tribunal",60660,0,2014-07-01,2015-06-30
"132","Murray-Darling Basin Authority",83053,101107,2019-07-01,2020-06-30
"132","Murray-Darling Basin Authority",91700,94384,2018-07-01,2019-06-30
"132","Murray-Darling Basin Authority",77470,97231,2017-07-01,2018-06-30
"132","Murray-Darling Basin Authority",84746,91184,2016-07-01,2017-06-30
"132","Murray-Darling Basin Authority",46736,77708,2015-07-01,2016-06-30
"132","Murray-Darling Basin Authority",48608,0,2014-07-01,2015-06-30
"133","Museum of Australian Democracy at Old Parliament House",18303,1367,2019-07-01,2020-06-30
"133","Museum of Australian Democracy at Old Parliament House",19847,1259,2018-07-01,2019-06-30
"133","Museum of Australian Democracy at Old Parliament House",18573,0,2017-07-01,2018-06-30
"133","Museum of Australian Democracy at Old Parliament House",13381,0,2016-07-01,2017-06-30
"133","Museum of Australian Democracy at Old Parliament House",14069,0,2015-07-01,2016-06-30
"133","Museum of Australian Democracy at Old Parliament House",15007,0,2014-07-01,2015-06-30
"134","National Archives of Australia",73704,2345,2019-07-01,2020-06-30
"134","National Archives of Australia",67330,11695,2018-07-01,2019-06-30
"134","National Archives of Australia",68450,1810,2017-07-01,2018-06-30
"134","National Archives of Australia",75826,2324,2016-07-01,2017-06-30
